customer_id;first_name;last_name;gender;DOB;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car;address;postcode;state;country;property_valuation
29;Mona;Sancraft;Female;1968-06-22;Safety Technician III;Manufacturing;Mass Customer;N;No;63 Lukken Drive;2170;New South Wales;Australia;9
30;Darrick;Helleckas;Male;1961-10-18;;IT;Affluent Customer;N;Yes;833 Luster Way;4005;QLD;Australia;8
31;Star;Praton;Female;1962-11-24;Staff Accountant III;Telecommunications;High Net Worth;N;Yes;34 Russell Plaza;4127;QLD;Australia;6
32;Marion;Vanichkin;Female;1995-04-20;Legal Assistant;Manufacturing;Affluent Customer;N;No;78 Del Sol Hill;2535;New South Wales;Australia;8
33;Ernst;Hacon;Male;1957-06-25;Product Engineer;n/a;Affluent Customer;N;Yes;54 Sage Plaza;4726;QLD;Australia;1
34;Jephthah;Bachmann;U;1843-12-21;Legal Assistant;IT;Affluent Customer;N;No;90 Lawn Parkway;4805;QLD;Australia;4
35;Margaretha;Strettle;Female;1963-09-28;Information Systems Manager;Health;High Net Worth;N;Yes;38726 Ilene Crossing;2212;New South Wales;Australia;10
36;Lurette;Stonnell;Female;1977-11-09;VP Quality Control;n/a;Affluent Customer;N;No;3496 Brown Drive;2207;New South Wales;Australia;8
37;Laurie;Dwerryhouse;Female;1985-12-22;Social Worker;Health;High Net Worth;N;No;7188 Cody Way;3350;VIC;Australia;9
38;Cordi;Merman;Female;1955-10-29;Senior Cost Accountant;Financial Services;Affluent Customer;N;No;1 Claremont Park;3931;VIC;Australia;10
39;Hunfredo;Smalley;Male;1979-04-16;Assistant Media Planner;Entertainment;Mass Customer;N;No;60 Eagan Circle;4018;QLD;Australia;8
40;Tomasine;Jerche;Female;1981-10-27;Payment Adjustment Coordinator;Manufacturing;Affluent Customer;N;No;89314 Eagle Crest Center;4670;QLD;Australia;2
41;Basilius;Coupe;Male;1976-04-14;Food Chemist;Health;Mass Customer;N;No;2028 Lakewood Place;2480;New South Wales;Australia;3
42;Chiquita;Durnall;Female;1977-03-28;Accountant III;Manufacturing;Mass Customer;N;No;70875 Hudson Point;3212;VIC;Australia;6
43;Indira;Belt;Female;1983-03-01;Director of Sales;Retail;Mass Customer;N;No;543 Killdeer Park;2322;New South Wales;Australia;4
44;Neron;Verick;Male;1981-10-18;Assistant Media Planner;Entertainment;Affluent Customer;N;Yes;22125 Ramsey Drive;3198;VIC;Australia;9
45;Trace;Woodhead;Male;1975-09-23;Senior Financial Analyst;Financial Services;Mass Customer;N;No;3107 Calypso Terrace;2210;New South Wales;Australia;9
46;Kaila;Allin;Female;1972-02-26;;n/a;Affluent Customer;N;Yes;957 Veith Junction;2047;New South Wales;Australia;10
47;Matthew;Jeaycock;Male;1992-10-22;Registered Nurse;Health;Affluent Customer;N;No;4853 Gulseth Avenue;4503;QLD;Australia;5
48;Rebbecca;Casone;Female;1975-08-15;Biostatistician II;n/a;Mass Customer;N;Yes;9 Michigan Terrace;2145;New South Wales;Australia;8
49;Nolly;Ownsworth;Male;1994-01-26;VP Quality Control;n/a;Affluent Customer;N;No;62 Steensland Road;4350;QLD;Australia;3
50;Whitby;Schapero;Male;1980-10-01;Account Executive;Manufacturing;Mass Customer;N;Yes;6 Homewood Avenue;2142;New South Wales;Australia;8
51;Fidelio;Dilke;Male;1959-12-05;Computer Systems Analyst II;Retail;Mass Customer;N;No;15 Almo Lane;2029;New South Wales;Australia;10
52;Curran;Bentson;Male;1988-06-22;;Financial Services;Mass Customer;N;Yes;690 Glacier Hill Circle;2127;New South Wales;Australia;10
53;Agnella;Gocke;Female;1954-04-18;Software Test Engineer II;Financial Services;Mass Customer;N;No;89787 Village Green Terrace;4280;QLD;Australia;6
54;Loralyn;Wonfor;Femal;1966-07-24;Sales Associate;Property;Mass Customer;N;Yes;18 Elgar Park;2166;New South Wales;Australia;9
55;Linc;Jillions;Male;1956-09-24;Paralegal;Financial Services;Affluent Customer;N;Yes;413 Mayer Street;2046;New South Wales;Australia;9
56;Reese;Ensor;Male;1996-07-04;VP Sales;Property;Mass Customer;N;Yes;39 3rd Drive;2026;New South Wales;Australia;10
57;Abba;Masedon;M;1988-06-13;Chief Design Engineer;n/a;Mass Customer;N;Yes;44516 Katie Parkway;2765;New South Wales;Australia;7
58;Dalenna;Pinnock;Female;1967-07-04;Office Assistant III;Financial Services;Affluent Customer;N;Yes;41 Schurz Center;2749;New South Wales;Australia;8
59;Niki;Heathcote;Male;2000-02-08;Physical Therapy Assistant;n/a;High Net Worth;N;No;68150 Boyd Road;2745;New South Wales;Australia;9
60;Nadiya;Champerlen;Female;1970-02-04;;Manufacturing;Mass Customer;N;No;11474 Westend Hill;3752;VIC;Australia;8
61;Kacey;Rowbottom;Female;1959-11-29;Help Desk Operator;Property;High Net Worth;N;No;308 Jana Crossing;2153;New South Wales;Australia;10
62;Sorcha;Roggers;Female;1979-07-06;;IT;Mass Customer;N;Yes;163 Straubel Trail;2217;New South Wales;Australia;10
63;Ebony;Zini;Female;1965-07-03;Senior Quality Engineer;Retail;Mass Customer;N;Yes;68294 Clarendon Crossing;2230;New South Wales;Australia;10
64;Gerek;Yve;Male;1978-03-25;Legal Assistant;IT;High Net Worth;N;No;486 Mariners Cove Plaza;3046;VIC;Australia;7
65;Yale;Tanser;Male;1976-04-01;Information Systems Manager;Financial Services;Affluent Customer;N;Yes;0322 Dryden Court;3183;VIC;Australia;7
66;Anselm;Gawne;Male;2002-03-11;Account Executive;Argiculture;High Net Worth;N;No;9 Bonner Road;2070;New South Wales;Australia;12
67;Vernon;;Male;1960-06-14;Web Developer II;Retail;Mass Customer;N;No;07041 Briar Crest Lane;2213;New South Wales;Australia;10
68;Dahlia;Eddoes;Female;1974-04-21;Information Systems Manager;n/a;Affluent Customer;N;No;29466 Hanson Pass;4208;QLD;Australia;6
69;Heidi;Milner;Female;1969-06-22;Web Developer II;n/a;Mass Customer;N;No;0212 Forest Run Trail;2774;New South Wales;Australia;8
70;Foster;Vannoort;Male;1993-02-27;Paralegal;Financial Services;Affluent Customer;N;No;33055 Menomonie Parkway;4133;QLD;Australia;8
71;Hoyt;Glavias;Male;1985-01-27;Research Associate;Argiculture;Affluent Customer;N;Yes;4763 Merchant Avenue;2756;New South Wales;Australia;8
72;Sammy;Cheese;Male;1972-02-13;Administrative Officer;Manufacturing;Affluent Customer;N;Yes;439 Ridgeway Court;4213;QLD;Australia;9
73;Minette;Worters;Female;1960-05-27;Teacher;n/a;Affluent Customer;N;Yes;2 Clyde Gallagher Lane;4170;QLD;Australia;5
74;Pansy;Kiddie;Female;1969-06-19;;n/a;Mass Customer;N;Yes;97455 Loeprich Lane;2153;New South Wales;Australia;9
75;Dollie;Sealy;Female;1978-07-15;VP Product Management;Property;Mass Customer;N;No;9527 Ridgeway Street;2073;New South Wales;Australia;10
76;Rea;Hasser;Female;1978-01-23;Statistician II;Retail;High Net Worth;N;Yes;7 Jackson Point;3561;VIC;Australia;1
77;Shermie;Andrin;Male;1989-09-12;Automation Specialist IV;Financial Services;Mass Customer;N;No;74 Anniversary Junction;2330;New South Wales;Australia;6
78;Arch;Van der Kruis;Male;1985-03-12;Business Systems Development Analyst;Argiculture;Affluent Customer;N;No;2083 Spaight Court;3977;VIC;Australia;8
79;Tybi;Silliman;Female;1968-10-02;Account Executive;Manufacturing;Mass Customer;N;No;2796 Caliangt Circle;2204;New South Wales;Australia;12
80;Pablo;Small;Male;1978-04-24;Data Coordiator;Entertainment;Mass Customer;N;No;96061 Ludington Place;2086;New South Wales;Australia;11
81;Bee;Blazewicz;Female;1986-09-04;;Health;High Net Worth;N;No;5037 Merchant Crossing;2226;New South Wales;Australia;11
82;Gleda;Cokely;Female;1965-06-28;Software Test Engineer III;Property;High Net Worth;N;No;289 Haas Street;2075;New South Wales;Australia;11
83;Kerr;Simmell;Male;1967-02-26;Internal Auditor;IT;Mass Customer;N;Yes;4423 Bartelt Parkway;2038;New South Wales;Australia;12
84;Rich;Mathiasen;Male;1958-02-07;Accountant III;n/a;Mass Customer;N;Yes;5 Grim Center;2069;New South Wales;Australia;12
85;Kane;Tixall;Male;1958-05-21;Analyst Programmer;n/a;Mass Customer;N;No;73042 Roth Crossing;2100;New South Wales;Australia;11
86;Job;Sleney;Male;1989-03-04;Occupational Therapist;Health;High Net Worth;N;Yes;171 Fordem Junction;2233;New South Wales;Australia;10
87;Fields;Langdon;Male;1974-04-23;Editor;Financial Services;Mass Customer;N;No;2640 Manley Point;2166;New South Wales;Australia;9
88;Malynda;Tumber;Female;1966-02-03;Help Desk Operator;Property;High Net Worth;N;Yes;3 Hintze Pass;3133;VIC;Australia;10
89;Benedicto;Hoxey;Male;1967-01-22;Speech Pathologist;Health;Mass Customer;N;Yes;2 Mcbride Road;3070;VIC;Australia;10
90;Cary;Garron;Male;1984-11-12;Quality Control Specialist;Manufacturing;Mass Customer;N;No;67234 Transport Hill;2777;New South Wales;Australia;7
91;Dylan;Meaker;Male;1955-02-24;Senior Financial Analyst;Financial Services;Affluent Customer;N;Yes;72 Dorton Crossing;3133;VIC;Australia;10
92;Jodee;Judkins;Female;1980-09-11;Recruiting Manager;Health;Mass Customer;N;No;6 Heffernan Center;2125;New South Wales;Australia;11
93;Gordon;Gowar;Male;1976-07-16;Project Manager;Retail;Mass Customer;N;Yes;6088 Roxbury Hill;2766;New South Wales;Australia;8
94;Wallache;Simchenko;Male;1974-08-07;Civil Engineer;Manufacturing;Mass Customer;N;No;105 Shelley Alley;2209;New South Wales;Australia;10
95;Nomi;Mallinder;Female;1960-12-25;Software Engineer III;Manufacturing;Affluent Customer;N;Yes;079 Merry Park;2160;New South Wales;Australia;9
96;Heath;Olford;Male;1968-08-31;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No;8722 Summit Alley;2065;New South Wales;Australia;12
97;Arne;Corain;Male;1979-07-27;Community Outreach Specialist;Financial Services;Mass Customer;N;Yes;9554 Artisan Pass;2150;New South Wales;Australia;10
98;Allianora;Babalola;Female;1956-03-17;Safety Technician IV;Health;Mass Customer;N;No;55850 Butterfield Road;2168;New South Wales;Australia;9
99;Reggie;Mulliner;Male;1998-06-13;VP Accounting;Financial Services;Mass Customer;N;No;68 Little Fleur Crossing;2046;New South Wales;Australia;12
100;Tripp;Steed;Male;1968-05-11;General Manager;Financial Services;Mass Customer;N;Yes;85688 New Castle Crossing;4171;QLD;Australia;10
101;Goran;Kwietek;Male;1975-12-29;Nurse Practicioner;Manufacturing;High Net Worth;N;No;8611 Loomis Lane;2155;New South Wales;Australia;10
102;Langsdon;Tranfield;Male;1956-11-27;Quality Control Specialist;Manufacturing;Affluent Customer;N;No;7909 Pierstorff Crossing;2517;New South Wales;Australia;9
103;Ethyl;Runham;Female;1997-04-21;Product Engineer;Financial Services;Affluent Customer;N;Yes;01 Muir Parkway;2096;New South Wales;Australia;12
104;Odille;Panketh;Female;1978-06-06;Automation Specialist II;Health;Mass Customer;N;Yes;0410 Division Junction;2750;New South Wales;Australia;8
105;Maribeth;Pristnor;Female;2001-09-17;Recruiting Manager;Manufacturing;Mass Customer;N;No;41 Service Lane;2217;New South Wales;Australia;11
106;Glyn;;Male;1966-07-03;Software Test Engineer III;Health;High Net Worth;N;Yes;5 Moose Road;3977;VIC;Australia;8
107;Pris;Stallebrass;Female;1990-07-01;Nurse Practicioner;Financial Services;Mass Customer;N;Yes;7342 Fieldstone Junction;2093;New South Wales;Australia;12
108;Kayle;Mingaud;Female;1994-03-14;;n/a;High Net Worth;N;No;0 David Terrace;3204;VIC;Australia;11
109;Cody;Blabey;Male;1978-12-11;Marketing Assistant;n/a;Affluent Customer;N;Yes;15239 Northwestern Point;4300;QLD;Australia;4
110;Sascha;St. Quintin;Male;2000-07-31;;Financial Services;Affluent Customer;N;No;60 Oneill Street;2170;New South Wales;Australia;9
111;Cele;Evason;Female;1993-08-29;Analyst Programmer;n/a;Mass Customer;N;No;8194 Sachtjen Drive;3844;VIC;Australia;1
112;Shena;Parren;Female;1975-08-12;Marketing Manager;Retail;High Net Worth;N;No;0349 Farmco Terrace;2168;New South Wales;Australia;8
113;Gage;Nickless;Male;1956-05-06;Staff Scientist;n/a;Mass Customer;N;No;185 Pennsylvania Way;4226;QLD;Australia;6
114;Sunny;Swindells;Female;1985-10-23;Teacher;Entertainment;Affluent Customer;N;No;432 Longview Circle;3192;VIC;Australia;10
115;Alberik;Mereweather;Male;1981-12-21;Account Executive;Health;Mass Customer;N;No;5814 Bunker Hill Street;3070;VIC;Australia;7
116;Scottie;Swiffen;Male;1999-02-05;Assistant Professor;Manufacturing;Affluent Customer;N;Yes;7 Carberry Crossing;2485;New South Wales;Australia;2
117;Nance;Suttling;Female;1982-02-23;Marketing Manager;Manufacturing;Mass Customer;N;No;53 Talisman Trail;2097;New South Wales;Australia;9
118;Prentice;Pearmain;Male;1959-11-12;Budget/Accounting Analyst IV;n/a;High Net Worth;N;No;5 Prairie Rose Road;4817;QLD;Australia;2
119;Willey;Chastanet;Male;1981-12-04;Associate Professor;n/a;High Net Worth;N;Yes;84 Florence Parkway;2516;New South Wales;Australia;8
120;Sloan;Wagg;Male;1978-09-02;Legal Assistant;Financial Services;High Net Worth;N;Yes;739 Elmside Way;3074;VIC;Australia;8
121;Myles;Pauncefort;Male;1957-10-02;Graphic Designer;Manufacturing;Mass Customer;N;No;684 Northport Circle;2213;New South Wales;Australia;10
122;Colver;Itter;Male;1979-04-19;Quality Control Specialist;Financial Services;Mass Customer;N;Yes;8 Hagan Hill;4508;QLD;Australia;4
123;Almeta;Kalinsky;Female;1988-12-03;Analyst Programmer;Financial Services;High Net Worth;N;No;0 Pearson Crossing;4405;QLD;Australia;1
124;Kath;Cunney;Female;1995-05-03;Administrative Assistant II;Health;High Net Worth;N;Yes;10918 Merry Way;2452;New South Wales;Australia;5
125;Darrelle;Antoniewski;Female;1960-03-17;Computer Systems Analyst II;Property;Mass Customer;N;No;97 Coolidge Trail;2142;New South Wales;Australia;9
126;Norman;Cliff;Male;1992-10-15;Administrative Officer;Health;Mass Customer;N;Yes;58 Helena Hill;2205;New South Wales;Australia;7
127;Merrili;Whitear;Female;1974-12-03;Compensation Analyst;Financial Services;Mass Customer;N;No;352 Forster Place;4132;QLD;Australia;3
128;Isidro;Cypler;Male;1977-07-17;Systems Administrator III;Property;Mass Customer;N;Yes;12306 Lawn Street;2145;New South Wales;Australia;8
129;Weidar;Silkstone;Male;1985-07-20;Financial Advisor;Financial Services;High Net Worth;N;Yes;19392 7th Trail;4744;QLD;Australia;1
130;Raddy;Delete;Male;1997-07-18;Chemical Engineer;Manufacturing;Mass Customer;N;No;1605 Northfield Junction;2158;New South Wales;Australia;11
131;Jana;Renyard;Female;1964-10-16;Administrative Officer;Retail;High Net Worth;N;No;9674 Graceland Junction;3201;VIC;Australia;6
132;Celesta;Willavoys;Female;1963-07-07;Web Designer I;Manufacturing;Mass Customer;N;Yes;638 Thackeray Junction;4178;QLD;Australia;3
133;Eldridge;Fiddeman;Male;1977-06-13;VP Accounting;Financial Services;Mass Customer;N;Yes;869 Forster Circle;2112;New South Wales;Australia;10
134;Merna;McCulloch;Female;1997-08-01;Legal Assistant;Telecommunications;Affluent Customer;N;Yes;0 Golden Leaf Crossing;2033;New South Wales;Australia;9
135;Rosalia;Sigart;Female;1975-01-18;Internal Auditor;IT;Mass Customer;N;No;215 Lindbergh Trail;4401;QLD;Australia;1
136;Mel;Bennet;Male;1973-05-26;Senior Developer;Manufacturing;High Net Worth;N;Yes;829 Washington Crossing;3186;VIC;Australia;9
137;Vaughn;Artin;Male;1987-11-21;Office Assistant II;Property;High Net Worth;N;No;585 Loomis Court;2097;New South Wales;Australia;11
138;Onofredo;Franc;Male;1985-04-28;Recruiter;Financial Services;Affluent Customer;N;Yes;68063 Blue Bill Park Center;3058;VIC;Australia;9
139;Gar;;Male;1964-07-28;Operator;Telecommunications;Affluent Customer;N;No;15673 Farmco Point;4017;QLD;Australia;6
140;Morrie;Flaxon;Male;1994-05-20;Programmer Analyst III;Manufacturing;Mass Customer;N;No;22 Oxford Junction;2315;New South Wales;Australia;3
141;Townsend;Trobe;Male;1954-06-25;Teacher;Financial Services;High Net Worth;N;Yes;7245 Cottonwood Center;2285;New South Wales;Australia;5
142;Bentley;Fortesquieu;Male;1967-08-07;Quality Engineer;Health;Affluent Customer;N;No;20382 Spohn Alley;2219;New South Wales;Australia;11
143;Kendall;Figg;Male;1957-09-01;Operator;Argiculture;Mass Customer;N;Yes;12375 Cambridge Pass;2065;New South Wales;Australia;11
144;Jory;Barrabeale;U;;Environmental Tech;IT;Mass Customer;N;No;03 Granby Parkway;3216;VIC;Australia;8
145;Filippo;Ferrara;Male;1997-07-21;Account Executive;Financial Services;Mass Customer;N;No;939 Coleman Pass;4509;QLD;Australia;7
146;Ricoriki;Matlock;Male;1985-04-08;Quality Control Specialist;Manufacturing;Mass Customer;N;No;69914 Bowman Place;2330;NSW;Australia;7
147;Rea;Pattrick;Female;1973-12-06;Analog Circuit Design manager;Health;Mass Customer;N;Yes;34457 Springview Street;2759;NSW;Australia;9
148;Jaquith;Maffey;Female;1981-05-08;Programmer Analyst III;n/a;Mass Customer;N;Yes;992 Old Shore Trail;2069;NSW;Australia;12
149;Drucy;Kausche;Female;1995-01-31;Research Nurse;Health;Mass Customer;N;Yes;453 Sheridan Street;2747;NSW;Australia;8
150;Bradly;Crosse;Male;1983-08-23;Cost Accountant;Financial Services;Affluent Customer;N;No;8 Mccormick Crossing;2227;NSW;Australia;8
151;Donnie;Brimson;Male;1965-01-31;Marketing Manager;Manufacturing;Mass Customer;N;Yes;63344 Holmberg Crossing;2025;NSW;Australia;10
152;Stephana;Cardew;Female;1981-03-03;Compensation Analyst;Financial Services;Mass Customer;N;No;9 Huxley Circle;3191;VIC;Australia;11
153;Lorilyn;Walshe;Female;1977-07-28;Assistant Media Planner;Entertainment;Mass Customer;N;Yes;0 Hazelcrest Road;3025;VIC;Australia;8
154;Faydra;Dulieu;Female;1958-02-13;Junior Executive;n/a;Mass Customer;N;No;2 Continental Plaza;2263;NSW;Australia;6
155;Orran;Bogges;Male;1985-12-28;Quality Engineer;Manufacturing;Mass Customer;N;No;80 Duke Terrace;2233;NSW;Australia;10
156;Shayla;Rimmington;Female;1979-09-09;Cost Accountant;Financial Services;Mass Customer;N;Yes;860 Hintze Lane;2154;NSW;Australia;11
157;Chad;Houtby;Male;1974-11-23;Financial Advisor;Financial Services;Affluent Customer;N;No;3723 Bunker Hill Circle;2065;NSW;Australia;10
158;Hamlin;Odams;Male;1984-09-03;Internal Auditor;n/a;Affluent Customer;N;No;5 Corry Court;2119;NSW;Australia;10
159;Arin;Matskevich;Male;1987-05-12;Research Nurse;Health;Affluent Customer;N;No;65105 Sommers Pass;3016;VIC;Australia;10
160;Wake;Durning;Male;1964-07-15;Registered Nurse;Health;Mass Customer;N;No;2054 Sommers Pass;4113;QLD;Australia;4
161;Tadd;Bloss;Male;1976-01-21;;n/a;Mass Customer;N;No;22371 Miller Trail;2032;NSW;Australia;10
162;Port;Acuna;Male;1979-08-12;Nurse Practicioner;IT;Mass Customer;N;No;35807 Oneill Way;4300;QLD;Australia;4
163;Kessia;Helder;Female;1976-09-06;Librarian;Entertainment;High Net Worth;N;Yes;75612 Clarendon Junction;4352;QLD;Australia;6
164;Aarika;Van Vuuren;Female;1999-08-07;Senior Editor;Retail;Affluent Customer;N;Yes;16 Golf View Center;3020;VIC;Australia;6
165;Aldon;Roelofs;Male;1984-03-25;Administrative Officer;Argiculture;Mass Customer;N;Yes;93 Iowa Junction;2116;NSW;Australia;9
166;Elston;Oleszczak;Male;1955-06-12;Structural Analysis Engineer;Manufacturing;Affluent Customer;N;No;48 Cascade Terrace;3057;VIC;Australia;8
167;Nathalie;Tideswell;Female;1969-10-27;;Health;High Net Worth;N;Yes;13950 Jackson Avenue;2099;NSW;Australia;11
168;Reggie;Broggetti;U;;General Manager;IT;Affluent Customer;N;Yes;35386 Mockingbird Road;3749;VIC;Australia;4
169;Alfy;Bruhnke;Male;1957-10-19;Data Coordiator;Telecommunications;High Net Worth;N;Yes;2 Randy Point;2766;NSW;Australia;8
170;Jammal;Gever;Male;1975-06-02;Pharmacist;Health;High Net Worth;N;No;6898 Redwing Park;2148;NSW;Australia;9
171;Halli;Davidoff;Female;1970-12-04;Assistant Manager;Manufacturing;Mass Customer;N;No;52273 Bay Place;3145;VIC;Australia;11
172;Hilton;Carney;Male;1988-09-12;Editor;Manufacturing;Affluent Customer;N;Yes;272 Montana Avenue;2021;NSW;Australia;8
173;Ebba;Hanselmann;Female;1997-01-02;General Manager;Health;Affluent Customer;N;No;82520 Mifflin Drive;2333;NSW;Australia;5
174;Catie;Tosspell;Female;1989-11-26;Food Chemist;Health;Mass Customer;N;No;8 Dixon Parkway;2783;NSW;Australia;7
175;Templeton;Hambrook;Male;1975-11-28;Quality Engineer;Manufacturing;Affluent Customer;N;No;4 Dayton Terrace;2280;NSW;Australia;9
176;Angelo;Clayal;Male;1992-04-13;Accountant I;Property;Mass Customer;N;No;216 Barnett Junction;4120;QLD;Australia;8
177;Ondrea;Pablos;Female;1989-11-09;Professor;Financial Services;High Net Worth;N;No;8256 Annamark Court;3638;VIC;Australia;1
178;Matthieu;Bertelmot;Male;1967-04-03;;n/a;Affluent Customer;N;No;83012 Dapin Lane;4300;QLD;Australia;4
179;Esteban;Sewill;Male;1966-05-11;Environmental Tech;Manufacturing;High Net Worth;N;Yes;8 Haas Park;2074;NSW;Australia;10
180;Trisha;Neasham;Female;1971-09-17;Web Designer III;Argiculture;Affluent Customer;N;No;50 Meadow Ridge Way;2880;NSW;Australia;1
181;Pavla;Braunle;Female;1982-11-21;Senior Editor;Manufacturing;Mass Customer;N;No;3567 Northfield Lane;2430;NSW;Australia;5
182;Lydon;Dahlman;Male;1992-11-20;Sales Associate;Financial Services;Affluent Customer;N;Yes;0059 Brentwood Road;4560;QLD;Australia;7
183;Dannie;Hissie;Female;1997-08-05;Geologist III;Retail;Affluent Customer;N;No;0274 Oneill Alley;2088;NSW;Australia;10
184;Nappie;Paolo;Male;1971-12-13;Marketing Manager;Manufacturing;High Net Worth;N;Yes;4179 Carioca Terrace;2220;NSW;Australia;11
185;Crosby;Walcot;Male;1979-12-13;;Property;Mass Customer;N;Yes;59265 Sullivan Junction;3031;VIC;Australia;4
186;Mireielle;Jeppe;Female;1974-05-06;Software Test Engineer I;Financial Services;Mass Customer;N;No;7 Warbler Point;2250;NSW;Australia;9
187;Pincas;Ather;Male;1954-01-28;Structural Engineer;n/a;Mass Customer;N;No;3 Buell Park;2261;NSW;Australia;7
188;Audry;Seine;Female;1975-06-22;Safety Technician II;Property;High Net Worth;N;Yes;0 Bay Center;3196;VIC;Australia;6
189;Umberto;Torricella;Male;1981-07-19;Safety Technician I;Financial Services;Affluent Customer;N;No;10878 Waywood Way;4352;QLD;Australia;7
190;Hayley;Girardengo;Female;1979-02-04;Registered Nurse;Health;Affluent Customer;N;No;362 Mayer Terrace;4680;QLD;Australia;5
191;Christopher;Heining;Male;1960-04-27;Help Desk Operator;n/a;Affluent Customer;N;Yes;43 Upham Crossing;3143;VIC;Australia;9
192;Goldi;Osler;Female;1978-11-19;Junior Executive;Health;Mass Customer;N;Yes;0 Superior Drive;2747;NSW;Australia;8
193;Foss;Hardes;Male;1964-07-22;Recruiting Manager;Manufacturing;Mass Customer;N;Yes;8890 Golden Leaf Street;2063;NSW;Australia;12
194;Ursala;Ferrai;Female;1974-11-16;Web Developer III;Financial Services;Affluent Customer;N;No;5484 Hagan Crossing;3021;VIC;Australia;7
195;Talyah;Rylatt;Female;1958-11-14;Project Manager;Manufacturing;Mass Customer;N;No;7451 Jana Lane;2138;NSW;Australia;8
